p,q,midpoint,mid_mod37,mid_dr,chi_p,chi_q,chi_mid
125219,125221,125220,12,3,-1,1,0
125507,125509,125508,4,3,-1,1,0
125639,125641,125640,25,9,-1,1,0
125789,125791,125790,27,6,-1,1,0
125897,125899,125898,24,6,-1,1,0
125927,125929,125928,17,9,-1,1,0
126011,126013,126012,27,3,-1,1,0
126227,126229,126228,21,3,-1,1,0
126491,126493,126492,26,6,-1,1,0
126611,126613,126612,35,9,-1,1,0
126857,126859,126858,22,3,-1,1,0
127031,127033,127032,11,6,-1,1,0
127079,127081,127080,22,9,-1,1,0
127217,127219,127218,12,3,-1,1,0
127247,127249,127248,5,6,-1,1,0
127289,127291,127290,10,3,-1,1,0
127607,127609,127608,32,6,-1,1,0
127679,127681,127680,30,6,-1,1,0
127709,127711,127710,23,9,-1,1,0
127817,127819,127818,20,9,-1,1,0
128111,128113,128112,18,6,-1,1,0
128201,128203,128202,34,6,-1,1,0
128237,128239,128238,33,6,-1,1,0
128339,128341,128340,24,9,-1,1,0
128411,128413,128412,22,9,-1,1,0
128519,128521,128520,19,9,-1,1,0
128549,128551,128550,12,3,-1,1,0
128657,128659,128658,9,3,-1,1,0
128747,128749,128748,25,3,-1,1,0
128831,128833,128832,35,6,-1,1,0
128939,128941,128940,32,6,-1,1,0
128969,128971,128970,25,9,-1,1,0
128981,128983,128982,0,3,-1,1,0
129119,129121,129120,27,6,-1,1,0
129221,129223,129222,18,9,-1,1,0
129287,129289,129288,10,3,-1,1,0
129401,129403,129402,13,9,-1,1,0
129497,129499,129498,35,6,-1,1,0
129527,129529,129528,28,9,-1,1,0
129587,129589,129588,14,6,-1,1,0
129629,129631,129630,19,3,-1,1,0
129641,129643,129642,31,6,-1,1,0
129917,129919,129918,11,3,-1,1,0
130199,130201,130200,34,6,-1,1,0
130259,130261,130260,20,3,-1,1,0
130367,130369,130368,17,3,-1,1,0
130409,130411,130410,22,9,-1,1,0
130619,130621,130620,10,3,-1,1,0
130631,130633,130632,22,6,-1,1,0
130649,130651,130650,3,6,-1,1,0
130841,130843,130842,10,9,-1,1,0
131009,131011,131010,30,6,-1,1,0
131111,131113,131112,21,9,-1,1,0
131249,131251,131250,11,3,-1,1,0
131447,131449,131448,24,3,-1,1,0
131477,131479,131478,17,6,-1,1,0
131639,131641,131640,31,6,-1,1,0
131711,131713,131712,29,6,-1,1,0
131777,131779,131778,21,9,-1,1,0
131837,131839,131838,7,6,-1,1,0
131891,131893,131892,24,6,-1,1,0
131939,131941,131940,35,9,-1,1,0
132047,132049,132048,32,9,-1,1,0
132329,132331,132330,18,3,-1,1,0
132437,132439,132438,15,3,-1,1,0
132527,132529,132528,31,3,-1,1,0
132707,132709,132708,26,3,-1,1,0
132749,132751,132750,31,9,-1,1,0
132761,132763,132762,6,3,-1,1,0
132857,132859,132858,28,9,-1,1,0
132947,132949,132948,7,9,-1,1,0
133277,133279,133278,4,6,-1,1,0
133319,133321,133320,9,3,-1,1,0
133349,133351,133350,2,6,-1,1,0
133541,133543,133542,9,9,-1,1,0
133631,133633,133632,25,9,-1,1,0
133709,133711,133710,29,6,-1,1,0
133811,133813,133812,20,9,-1,1,0
133979,133981,133980,3,6,-1,1,0
134087,134089,134088,0,6,-1,1,0
134291,134293,134292,19,3,-1,1,0
134339,134341,134340,30,6,-1,1,0
134369,134371,134370,23,9,-1,1,0
134399,134401,134400,16,3,-1,1,0
134591,134593,134592,23,6,-1,1,0
134681,134683,134682,2,6,-1,1,0
134837,134839,134838,10,9,-1,1,0
134921,134923,134922,20,3,-1,1,0
135017,135019,135018,5,9,-1,1,0
135209,135211,135210,12,3,-1,1,0
135281,135283,135282,10,3,-1,1,0
135347,135349,135348,2,6,-1,1,0
135389,135391,135390,7,3,-1,1,0
135431,135433,135432,12,9,-1,1,0
135461,135463,135462,5,3,-1,1,0
135467,135469,135468,11,9,-1,1,0
135599,135601,135600,32,6,-1,1,0
135647,135649,135648,6,9,-1,1,0
135719,135721,135720,4,9,-1,1,0
135911,135913,135912,11,3,-1,1,0
135977,135979,135978,3,6,-1,1,0
136067,136069,136068,19,6,-1,1,0
136397,136399,136398,16,3,-1,1,0
136481,136483,136482,26,6,-1,1,0
136601,136603,136602,35,9,-1,1,0
136649,136651,136650,9,3,-1,1,0
136691,136693,136692,14,9,-1,1,0
136709,136711,136710,32,9,-1,1,0
136751,136753,136752,0,6,-1,1,0
136811,136813,136812,23,3,-1,1,0
136859,136861,136860,34,6,-1,1,0
136949,136951,136950,13,6,-1,1,0
136991,136993,136992,18,3,-1,1,0
137087,137089,137088,3,9,-1,1,0
137117,137119,137118,33,3,-1,1,0
137339,137341,137340,33,9,-1,1,0
137867,137869,137868,6,6,-1,1,0
137909,137911,137910,11,3,-1,1,0
138077,138079,138078,31,9,-1,1,0
138179,138181,138180,22,3,-1,1,0
138239,138241,138240,8,9,-1,1,0
138371,138373,138372,29,6,-1,1,0
138401,138403,138402,22,9,-1,1,0
138449,138451,138450,33,3,-1,1,0
138569,138571,138570,5,6,-1,1,0
138797,138799,138798,11,9,-1,1,0
139121,139123,139122,2,9,-1,1,0
139199,139201,139200,6,6,-1,1,0
139301,139303,139302,34,9,-1,1,0
139367,139369,139368,26,3,-1,1,0
139457,139459,139458,5,3,-1,1,0
139589,139591,139590,26,9,-1,1,0
139661,139663,139662,24,9,-1,1,0
139967,139969,139968,34,9,-1,1,0
140069,140071,140070,25,3,-1,1,0
140417,140419,140418,3,9,-1,1,0
140549,140551,140550,24,6,-1,1,0
140627,140629,140628,28,3,-1,1,0
140681,140683,140682,8,3,-1,1,0
140729,140731,140730,19,6,-1,1,0
140759,140761,140760,12,9,-1,1,0
140837,140839,140838,16,6,-1,1,0
140867,140869,140868,9,9,-1,1,0
140891,140893,140892,33,6,-1,1,0
141179,141181,141180,25,6,-1,1,0
141221,141223,141222,30,3,-1,1,0
141497,141499,141498,10,9,-1,1,0
141509,141511,141510,22,3,-1,1,0
141677,141679,141678,5,9,-1,1,0
141707,141709,141708,35,3,-1,1,0
141767,141769,141768,21,9,-1,1,0
141851,141853,141852,31,3,-1,1,0
141959,141961,141960,28,3,-1,1,0
142097,142099,142098,18,6,-1,1,0
142157,142159,142158,4,3,-1,1,0
142589,142591,142590,29,3,-1,1,0
142607,142609,142608,10,3,-1,1,0
142697,142699,142698,26,3,-1,1,0
142757,142759,142758,12,9,-1,1,0
142787,142789,142788,5,3,-1,1,0
142871,142873,142872,15,6,-1,1,0
142979,142981,142980,12,6,-1,1,0
143111,143113,143112,33,3,-1,1,0
143261,143263,143262,35,9,-1,1,0
143501,143503,143502,16,6,-1,1,0
143567,143569,143568,8,9,-1,1,0
143651,143653,143652,18,3,-1,1,0
143831,143833,143832,13,3,-1,1,0
143879,143881,143880,24,6,-1,1,0
144071,144073,144072,31,9,-1,1,0
144161,144163,144162,10,9,-1,1,0
144167,144169,144168,16,6,-1,1,0
144407,144409,144408,34,3,-1,1,0
144479,144481,144480,32,3,-1,1,0
144539,144541,144540,18,9,-1,1,0
144887,144889,144888,33,6,-1,1,0
145007,145009,145008,5,9,-1,1,0
145511,145513,145512,28,9,-1,1,0
145547,145549,145548,27,9,-1,1,0
145601,145603,145602,7,9,-1,1,0
145679,145681,145680,11,6,-1,1,0
145721,145723,145722,16,3,-1,1,0
145757,145759,145758,15,3,-1,1,0
145931,145933,145932,4,6,-1,1,0
145967,145969,145968,3,6,-1,1,0
146009,146011,146010,8,3,-1,1,0
146021,146023,146022,20,6,-1,1,0
146057,146059,146058,19,6,-1,1,0
146297,146299,146298,0,3,-1,1,0
146381,146383,146382,10,6,-1,1,0
146519,146521,146520,0,9,-1,1,0
146681,146683,146682,14,9,-1,1,0
146891,146893,146892,2,3,-1,1,0
146987,146989,146988,24,9,-1,1,0
147029,147031,147030,29,6,-1,1,0
147137,147139,147138,26,6,-1,1,0
147209,147211,147210,24,6,-1,1,0
147227,147229,147228,5,6,-1,1,0
147449,147451,147450,5,3,-1,1,0
147671,147673,147672,5,9,-1,1,0
148061,148063,148062,25,3,-1,1,0
148151,148153,148152,4,3,-1,1,0
148199,148201,148200,15,6,-1,1,0
148301,148303,148302,6,9,-1,1,0
148469,148471,148470,26,6,-1,1,0
148667,148669,148668,2,6,-1,1,0
148691,148693,148692,26,3,-1,1,0
148721,148723,148722,19,6,-1,1,0
148781,148783,148782,5,3,-1,1,0
148859,148861,148860,9,9,-1,1,0
148931,148933,148932,7,9,-1,1,0
149057,149059,149058,22,9,-1,1,0
149099,149101,149100,27,6,-1,1,0
149111,149113,149112,2,9,-1,1,0
149159,149161,149160,13,3,-1,1,0
149249,149251,149250,29,3,-1,1,0
149417,149419,149418,12,9,-1,1,0
149489,149491,149490,10,9,-1,1,0
149519,149521,149520,3,3,-1,1,0
149531,149533,149532,15,6,-1,1,0
149561,149563,149562,8,9,-1,1,0
149627,149629,149628,0,3,-1,1,0
149711,149713,149712,10,6,-1,1,0
149729,149731,149730,28,6,-1,1,0
149837,149839,149838,25,6,-1,1,0
149909,149911,149910,23,6,-1,1,0
149969,149971,149970,9,3,-1,1,0
150089,150091,150090,18,6,-1,1,0
150209,150211,150210,27,9,-1,1,0
150221,150223,150222,2,3,-1,1,0
150299,150301,150300,6,9,-1,1,0
150377,150379,150378,10,6,-1,1,0
150587,150589,150588,35,9,-1,1,0
150767,150769,150768,30,9,-1,1,0
150881,150883,150882,33,6,-1,1,0
150959,150961,150960,0,3,-1,1,0
150989,150991,150990,30,6,-1,1,0
151007,151009,151008,11,6,-1,1,0
151049,151051,151050,16,3,-1,1,0
151169,151171,151170,25,6,-1,1,0
151241,151243,151242,23,6,-1,1,0
151337,151339,151338,8,3,-1,1,0
151379,151381,151380,13,9,-1,1,0
151607,151609,151608,19,3,-1,1,0
151769,151771,151770,33,3,-1,1,0
151847,151849,151848,0,9,-1,1,0
151901,151903,151902,17,9,-1,1,0
151937,151939,151938,16,9,-1,1,0
151967,151969,151968,9,3,-1,1,0
152027,152029,152028,32,9,-1,1,0
152039,152041,152040,7,3,-1,1,0
152081,152083,152082,12,9,-1,1,0
152417,152419,152418,15,3,-1,1,0
152441,152443,152442,2,9,-1,1,0
152459,152461,152460,20,9,-1,1,0
152531,152533,152532,18,9,-1,1,0
152597,152599,152598,10,3,-1,1,0
152639,152641,152640,15,9,-1,1,0
152819,152821,152820,10,9,-1,1,0
152837,152839,152838,28,9,-1,1,0
152897,152899,152898,14,6,-1,1,0
152939,152941,152940,19,3,-1,1,0
153071,153073,153072,3,9,-1,1,0
153269,153271,153270,16,9,-1,1,0
153407,153409,153408,6,3,-1,1,0
153509,153511,153510,34,6,-1,1,0
153521,153523,153522,9,9,-1,1,0
153887,153889,153888,5,6,-1,1,0
153911,153913,153912,29,3,-1,1,0
153947,153949,153948,28,3,-1,1,0
154079,154081,154080,12,9,-1,1,0
154157,154159,154158,16,6,-1,1,0
154181,154183,154182,3,3,-1,1,0
154211,154213,154212,33,6,-1,1,0
154277,154279,154278,25,9,-1,1,0
154571,154573,154572,23,6,-1,1,0
154589,154591,154590,4,6,-1,1,0
154619,154621,154620,34,9,-1,1,0
154667,154669,154668,8,3,-1,1,0
154787,154789,154788,17,6,-1,1,0
154871,154873,154872,27,9,-1,1,0
155081,155083,155082,15,3,-1,1,0
155201,155203,155202,24,6,-1,1,0
155381,155383,155382,19,6,-1,1,0
155537,155539,155538,27,9,-1,1,0
155579,155581,155580,32,6,-1,1,0
155717,155719,155718,22,9,-1,1,0
155849,155851,155850,6,6,-1,1,0
155861,155863,155862,18,9,-1,1,0
155891,155893,155892,11,3,-1,1,0
156059,156061,156060,31,9,-1,1,0
156227,156229,156228,14,6,-1,1,0
156257,156259,156258,7,9,-1,1,0
156419,156421,156420,21,9,-1,1,0
156491,156493,156492,19,9,-1,1,0
156677,156679,156678,20,6,-1,1,0
156797,156799,156798,29,9,-1,1,0
156899,156901,156900,20,3,-1,1,0
156941,156943,156942,25,9,-1,1,0
157049,157051,157050,22,9,-1,1,0
157217,157219,157218,5,6,-1,1,0
157229,157231,157230,17,9,-1,1,0
157271,157273,157272,22,6,-1,1,0
157277,157279,157278,28,3,-1,1,0
157349,157351,157350,26,3,-1,1,0
157427,157429,157428,30,9,-1,1,0
157559,157561,157560,14,6,-1,1,0
157637,157639,157638,18,3,-1,1,0
157667,157669,157668,11,6,-1,1,0
157769,157771,157770,2,9,-1,1,0
157931,157933,157932,16,9,-1,1,0
158141,158143,158142,4,3,-1,1,0
158231,158233,158232,20,3,-1,1,0
158357,158359,158358,35,3,-1,1,0
158747,158749,158748,18,6,-1,1,0
158759,158761,158760,30,9,-1,1,0
159167,159169,159168,31,3,-1,1,0
159191,159193,159192,18,9,-1,1,0
159347,159349,159348,26,3,-1,1,0
159539,159541,159540,33,6,-1,1,0
159569,159571,159570,26,9,-1,1,0
159629,159631,159630,12,6,-1,1,0
159671,159673,159672,17,3,-1,1,0
159737,159739,159738,9,6,-1,1,0
159791,159793,159792,26,6,-1,1,0
159869,159871,159870,30,3,-1,1,0
159977,159979,159978,27,3,-1,1,0
160031,160033,160032,7,3,-1,1,0
160079,160081,160080,18,6,-1,1,0
160091,160093,160092,30,9,-1,1,0
160481,160483,160482,13,3,-1,1,0
160619,160621,160620,3,6,-1,1,0
160637,160639,160638,21,6,-1,1,0
160649,160651,160650,33,9,-1,1,0
160709,160711,160710,19,6,-1,1,0
160751,160753,160752,24,3,-1,1,0
160877,160879,160878,2,3,-1,1,0
160967,160969,160968,18,3,-1,1,0
161339,161341,161340,20,6,-1,1,0
161459,161461,161460,29,9,-1,1,0
161561,161563,161562,20,3,-1,1,0
161639,161641,161640,24,9,-1,1,0
161729,161731,161730,3,9,-1,1,0
161741,161743,161742,15,3,-1,1,0
161771,161773,161772,8,6,-1,1,0
161879,161881,161880,5,6,-1,1,0
161921,161923,161922,10,3,-1,1,0
161969,161971,161970,21,6,-1,1,0
162287,162289,162288,6,9,-1,1,0
162389,162391,162390,34,3,-1,1,0
162527,162529,162528,24,6,-1,1,0
162749,162751,162750,24,3,-1,1,0
162821,162823,162822,22,3,-1,1,0
162971,162973,162972,24,9,-1,1,0
163019,163021,163020,35,3,-1,1,0
163061,163063,163062,3,9,-1,1,0
163127,163129,163128,32,3,-1,1,0
163169,163171,163170,0,9,-1,1,0
163307,163309,163308,27,3,-1,1,0
163409,163411,163410,18,6,-1,1,0
163481,163483,163482,16,6,-1,1,0
163859,163861,163860,24,6,-1,1,0
163979,163981,163980,33,9,-1,1,0
163991,163993,163992,8,3,-1,1,0
164147,164149,164148,16,6,-1,1,0
164231,164233,164232,26,9,-1,1,0
164249,164251,164250,7,9,-1,1,0
164429,164431,164430,2,9,-1,1,0
164447,164449,164448,20,9,-1,1,0
164621,164623,164622,9,3,-1,1,0
164837,164839,164838,3,3,-1,1,0
164999,165001,165000,17,3,-1,1,0
165047,165049,165048,28,6,-1,1,0
165311,165313,165312,33,9,-1,1,0
165551,165553,165552,14,6,-1,1,0
165587,165589,165588,13,6,-1,1,0
165701,165703,165702,16,3,-1,1,0
165707,165709,165708,22,9,-1,1,0
165719,165721,165720,34,3,-1,1,0
166301,166303,166302,24,9,-1,1,0
166349,166351,166350,35,3,-1,1,0
166601,166603,166602,28,3,-1,1,0
166667,166669,166668,20,6,-1,1,0
166739,166741,166740,18,6,-1,1,0
166781,166783,166782,23,3,-1,1,0
166841,166843,166842,9,9,-1,1,0
166847,166849,166848,15,6,-1,1,0
167021,167023,167022,4,9,-1,1,0
167117,167119,167118,26,6,-1,1,0
167267,167269,167268,28,3,-1,1,0
167309,167311,167310,33,9,-1,1,0
167339,167341,167340,26,3,-1,1,0
167441,167443,167442,17,6,-1,1,0
167621,167623,167622,12,6,-1,1,0
167777,167779,167778,20,9,-1,1,0
167861,167863,167862,30,3,-1,1,0
168449,168451,168450,26,6,-1,1,0
168599,168601,168600,28,3,-1,1,0
168629,168631,168630,21,6,-1,1,0
168899,168901,168900,32,6,-1,1,0
169007,169009,169008,29,6,-1,1,0
169067,169069,169068,15,3,-1,1,0
169217,169219,169218,17,9,-1,1,0
169241,169243,169242,4,6,-1,1,0
169319,169321,169320,8,3,-1,1,0
169691,169693,169692,10,6,-1,1,0
169751,169753,169752,33,3,-1,1,0
169889,169891,169890,23,6,-1,1,0
170099,170101,170100,11,9,-1,1,0
170351,170353,170352,4,9,-1,1,0
170369,170371,170370,22,9,-1,1,0
170537,170539,170538,5,6,-1,1,0
170759,170761,170760,5,3,-1,1,0
171047,171049,171048,34,3,-1,1,0
171077,171079,171078,27,6,-1,1,0
171161,171163,171162,0,9,-1,1,0
171167,171169,171168,6,6,-1,1,0
171251,171253,171252,16,9,-1,1,0
171401,171403,171402,18,6,-1,1,0
171467,171469,171468,10,9,-1,1,0
171539,171541,171540,8,9,-1,1,0
171671,171673,171672,29,6,-1,1,0
171761,171763,171762,8,6,-1,1,0
172169,172171,172170,9,9,-1,1,0
172217,172219,172218,20,3,-1,1,0
172421,172423,172422,2,9,-1,1,0
172439,172441,172440,20,9,-1,1,0
172517,172519,172518,24,6,-1,1,0
173021,173023,173022,10,6,-1,1,0
173189,173191,173190,30,3,-1,1,0
173207,173209,173208,11,3,-1,1,0
173291,173293,173292,21,6,-1,1,0
173357,173359,173358,13,9,-1,1,0
173429,173431,173430,11,9,-1,1,0
173669,173671,173670,29,6,-1,1,0
173741,173743,173742,27,6,-1,1,0
173777,173779,173778,26,6,-1,1,0
174017,174019,174018,7,3,-1,1,0
174047,174049,174048,0,6,-1,1,0
174077,174079,174078,30,9,-1,1,0
174257,174259,174258,25,9,-1,1,0
174329,174331,174330,23,9,-1,1,0
174467,174469,174468,13,3,-1,1,0
174569,174571,174570,4,6,-1,1,0
174761,174763,174762,11,9,-1,1,0
174929,174931,174930,31,6,-1,1,0
174989,174991,174990,17,3,-1,1,0
175067,175069,175068,21,9,-1,1,0
175079,175081,175080,33,3,-1,1,0
175391,175393,175392,12,9,-1,1,0
175631,175633,175632,30,6,-1,1,0
175757,175759,175758,8,6,-1,1,0
175781,175783,175782,32,3,-1,1,0
175937,175939,175938,3,6,-1,1,0
175961,175963,175962,27,3,-1,1,0
175991,175993,175992,20,6,-1,1,0
176021,176023,176022,13,9,-1,1,0
176051,176053,176052,6,3,-1,1,0
176087,176089,176088,5,3,-1,1,0
176159,176161,176160,3,3,-1,1,0
176327,176329,176328,23,9,-1,1,0
176417,176419,176418,2,9,-1,1,0
176459,176461,176460,7,6,-1,1,0
176507,176509,176508,18,9,-1,1,0
176549,176551,176550,23,6,-1,1,0
176597,176599,176598,34,9,-1,1,0
176609,176611,176610,9,3,-1,1,0
176711,176713,176712,0,6,-1,1,0
176777,176779,176778,29,9,-1,1,0
176789,176791,176790,4,3,-1,1,0
176807,176809,176808,22,3,-1,1,0
176921,176923,176922,25,9,-1,1,0
177011,177013,177012,4,9,-1,1,0
177209,177211,177210,17,9,-1,1,0
177431,177433,177432,17,6,-1,1,0
177677,177679,177678,4,9,-1,1,0
177761,177763,177762,14,3,-1,1,0
177839,177841,177840,18,9,-1,1,0
177887,177889,177888,29,3,-1,1,0
178037,178039,178038,31,9,-1,1,0
178067,178069,178068,24,3,-1,1,0
178091,178093,178092,11,9,-1,1,0
178247,178249,178248,19,3,-1,1,0
178259,178261,178260,31,6,-1,1,0
178349,178351,178350,10,6,-1,1,0
178439,178441,178440,26,6,-1,1,0
178487,178489,178488,0,9,-1,1,0
178559,178561,178560,35,9,-1,1,0
178601,178603,178602,3,6,-1,1,0
178691,178693,178692,19,6,-1,1,0
178817,178819,178818,34,6,-1,1,0
178907,178909,178908,13,6,-1,1,0
178931,178933,178932,0,3,-1,1,0
179381,179383,179382,6,3,-1,1,0
179579,179581,179580,19,3,-1,1,0
179591,179593,179592,31,6,-1,1,0
179657,179659,179658,23,9,-1,1,0
179687,179689,179688,16,3,-1,1,0
179717,179719,179718,9,6,-1,1,0
179819,179821,179820,0,9,-1,1,0
179897,179899,179898,4,6,-1,1,0
179951,179953,179952,21,6,-1,1,0
179999,180001,180000,32,9,-1,1,0
180071,180073,180072,30,9,-1,1,0
180179,180181,180180,27,9,-1,1,0
180239,180241,180240,13,6,-1,1,0
180287,180289,180288,24,9,-1,1,0
180539,180541,180540,17,9,-1,1,0
180749,180751,180750,5,3,-1,1,0
180797,180799,180798,16,6,-1,1,0
181001,181003,181002,35,3,-1,1,0
181061,181063,181062,21,9,-1,1,0
181199,181201,181200,11,3,-1,1,0
181211,181213,181212,23,6,-1,1,0
181301,181303,181302,2,6,-1,1,0
181397,181399,181398,24,3,-1,1,0
181457,181459,181458,10,9,-1,1,0
181499,181501,181500,15,6,-1,1,0
181607,181609,181608,12,6,-1,1,0
181667,181669,181668,35,3,-1,1,0
181757,181759,181758,14,3,-1,1,0
181787,181789,181788,7,6,-1,1,0
181871,181873,181872,17,9,-1,1,0
181889,181891,181890,35,9,-1,1,0
182009,182011,182010,7,3,-1,1,0
182027,182029,182028,25,3,-1,1,0
182057,182059,182058,18,6,-1,1,0
182099,182101,182100,23,3,-1,1,0
182129,182131,182130,16,6,-1,1,0
182177,182179,182178,27,9,-1,1,0
182339,182341,182340,4,9,-1,1,0
182387,182389,182388,15,3,-1,1,0
182471,182473,182472,25,6,-1,1,0
182639,182641,182640,8,3,-1,1,0
182657,182659,182658,26,3,-1,1,0
182711,182713,182712,6,3,-1,1,0
182927,182929,182928,0,3,-1,1,0
183089,183091,183090,14,3,-1,1,0
183299,183301,183300,2,6,-1,1,0
183317,183319,183318,20,6,-1,1,0
183437,183439,183438,29,9,-1,1,0
183497,183499,183498,15,6,-1,1,0
183509,183511,183510,27,9,-1,1,0
183569,183571,183570,13,6,-1,1,0
183707,183709,183708,3,9,-1,1,0
183761,183763,183762,20,9,-1,1,0
183917,183919,183918,28,3,-1,1,0
183971,183973,183972,8,3,-1,1,0
184187,184189,184188,2,3,-1,1,0
184271,184273,184272,12,6,-1,1,0
184487,184489,184488,6,6,-1,1,0
184607,184609,184608,15,9,-1,1,0
184631,184633,184632,2,6,-1,1,0
184649,184651,184650,20,6,-1,1,0
184829,184831,184830,15,6,-1,1,0
184901,184903,184902,13,6,-1,1,0
184967,184969,184968,5,9,-1,1,0
184997,184999,184998,35,3,-1,1,0
185069,185071,185070,33,3,-1,1,0
185369,185371,185370,0,6,-1,1,0
185531,185533,185532,14,6,-1,1,0
185567,185569,185568,13,6,-1,1,0
185681,185683,185682,16,3,-1,1,0
185747,185749,185748,8,6,-1,1,0
185819,185821,185820,6,6,-1,1,0
185831,185833,185832,18,9,-1,1,0
185957,185959,185958,33,9,-1,1,0
186161,186163,186162,15,6,-1,1,0
186227,186229,186228,7,9,-1,1,0
186299,186301,186300,5,9,-1,1,0
186377,186379,186378,9,6,-1,1,0
186479,186481,186480,0,9,-1,1,0
186581,186583,186582,28,3,-1,1,0
186647,186649,186648,20,6,-1,1,0
186707,186709,186708,6,3,-1,1,0
186761,186763,186762,23,3,-1,1,0
186869,186871,186870,20,3,-1,1,0
187067,187069,187068,33,3,-1,1,0
187127,187129,187128,19,9,-1,1,0
187139,187141,187140,31,3,-1,1,0
187217,187219,187218,35,9,-1,1,0
187337,187339,187338,7,3,-1,1,0
187469,187471,187470,28,9,-1,1,0
187631,187633,187632,5,9,-1,1,0
187637,187639,187638,11,6,-1,1,0
187907,187909,187908,22,6,-1,1,0
188831,188833,188832,21,3,-1,1,0
188861,188863,188862,14,6,-1,1,0
188939,188941,188940,18,3,-1,1,0
189017,189019,189018,22,9,-1,1,0
189041,189043,189042,9,6,-1,1,0
189149,189151,189150,6,6,-1,1,0
189251,189253,189252,34,9,-1,1,0
189347,189349,189348,19,6,-1,1,0
189389,189391,189390,24,3,-1,1,0
189437,189439,189438,35,6,-1,1,0
189491,189493,189492,15,6,-1,1,0
189617,189619,189618,30,6,-1,1,0
189797,189799,189798,25,6,-1,1,0
189851,189853,189852,5,6,-1,1,0
189947,189949,189948,27,3,-1,1,0
190367,190369,190368,3,9,-1,1,0
190577,190579,190578,28,3,-1,1,0
190667,190669,190668,7,3,-1,1,0
190709,190711,190710,12,9,-1,1,0
190889,190891,190890,7,9,-1,1,0
191141,191143,191142,0,9,-1,1,0
191249,191251,191250,34,9,-1,1,0
191297,191299,191298,8,3,-1,1,0
191339,191341,191340,13,9,-1,1,0
191447,191449,191448,10,9,-1,1,0
191459,191461,191460,22,3,-1,1,0
191507,191509,191508,33,6,-1,1,0
191531,191533,191532,20,3,-1,1,0
191561,191563,191562,13,6,-1,1,0
191669,191671,191670,10,6,-1,1,0
191747,191749,191748,14,3,-1,1,0
191801,191803,191802,31,3,-1,1,0
191831,191833,191832,24,6,-1,1,0
192191,192193,192192,14,6,-1,1,0
192317,192319,192318,29,6,-1,1,0
192341,192343,192342,16,3,-1,1,0
192461,192463,192462,25,6,-1,1,0
192497,192499,192498,24,6,-1,1,0
192581,192583,192582,34,9,-1,1,0
192611,192613,192612,27,3,-1,1,0
192629,192631,192630,8,3,-1,1,0
192887,192889,192888,7,9,-1,1,0
192977,192979,192978,23,9,-1,1,0
193181,193183,193182,5,6,-1,1,0
193379,193381,193380,18,6,-1,1,0
193601,193603,193602,18,3,-1,1,0
193811,193813,193812,6,6,-1,1,0
193859,193861,193860,17,9,-1,1,0
193871,193873,193872,29,3,-1,1,0
193937,193939,193938,21,6,-1,1,0
194069,194071,194070,5,3,-1,1,0
194267,194269,194268,18,3,-1,1,0
194681,194683,194682,25,3,-1,1,0
194861,194863,194862,20,3,-1,1,0
194867,194869,194868,26,9,-1,1,0
195047,195049,195048,21,9,-1,1,0
195161,195163,195162,24,6,-1,1,0
195341,195343,195342,19,6,-1,1,0
195539,195541,195540,32,6,-1,1,0
195731,195733,195732,2,9,-1,1,0
195737,195739,195738,8,6,-1,1,0
195929,195931,195930,15,9,-1,1,0
195971,195973,195972,20,6,-1,1,0
196169,196171,196170,33,6,-1,1,0
196277,196279,196278,30,6,-1,1,0
196499,196501,196500,30,3,-1,1,0
196541,196543,196542,35,9,-1,1,0
196661,196663,196662,7,3,-1,1,0
196769,196771,196770,4,3,-1,1,0
196871,196873,196872,32,6,-1,1,0
196991,196993,196992,4,9,-1,1,0
197159,197161,197160,24,6,-1,1,0
197297,197299,197298,14,9,-1,1,0
197339,197341,197340,19,6,-1,1,0
197369,197371,197370,12,9,-1,1,0
197381,197383,197382,24,3,-1,1,0
197567,197569,197568,25,9,-1,1,0
197597,197599,197598,18,3,-1,1,0
197711,197713,197712,21,9,-1,1,0
197891,197893,197892,16,9,-1,1,0
197957,197959,197958,8,3,-1,1,0
197969,197971,197970,20,6,-1,1,0
198221,198223,198222,13,6,-1,1,0
198257,198259,198258,12,6,-1,1,0
198347,198349,198348,28,6,-1,1,0
198437,198439,198438,7,6,-1,1,0
198461,198463,198462,31,3,-1,1,0
198827,198829,198828,27,9,-1,1,0
198839,198841,198840,2,3,-1,1,0
198899,198901,198900,25,9,-1,1,0
198941,198943,198942,30,6,-1,1,0
199037,199039,199038,15,3,-1,1,0
199151,199153,199152,18,9,-1,1,0
199487,199489,199488,21,3,-1,1,0
199499,199501,199500,33,6,-1,1,0
199601,199603,199602,24,9,-1,1,0
199739,199741,199740,14,3,-1,1,0
199751,199753,199752,26,6,-1,1,0
199811,199813,199812,12,3,-1,1,0
199931,199933,199932,21,6,-1,1,0
200381,200383,200382,27,6,-1,1,0
200867,200869,200868,32,6,-1,1,0
200927,200929,200928,18,3,-1,1,0
200987,200989,200988,4,9,-1,1,0
201119,201121,201120,25,6,-1,1,0
201209,201211,201210,4,6,-1,1,0
201401,201403,201402,11,9,-1,1,0
201449,201451,201450,22,3,-1,1,0
201491,201493,201492,27,9,-1,1,0
201497,201499,201498,33,6,-1,1,0
201767,201769,201768,7,6,-1,1,0
201821,201823,201822,24,6,-1,1,0
