p,rev_p,dr_p,dr_revp,product_dr,product_in_col1,diff,diff_dr,p_mod37,revp_mod37,same_mod37,chi_p,col_p
152287,782251,7,7,4,True,629964,9,32,34,False,1,COL1
152293,392251,4,4,7,True,239958,9,1,14,False,1,COL1
152377,773251,7,7,4,True,620874,9,11,25,False,1,COL1
152407,704251,1,1,1,True,551844,9,4,30,False,1,COL1
152423,324251,8,8,1,True,171828,9,20,20,True,-1,COL2
152443,344251,1,1,1,True,191808,9,3,3,True,1,COL1
152461,164251,1,1,1,True,11790,9,21,8,False,1,COL1
152519,915251,5,5,7,True,762732,9,5,19,False,-1,COL2
152563,365251,4,4,7,True,212688,9,12,24,False,1,COL1
152567,765251,8,8,1,True,612684,9,16,17,False,-1,COL2
152597,795251,2,2,4,True,642654,9,9,10,False,-1,COL2
152623,326251,1,1,1,True,173628,9,35,22,False,1,COL1
152629,926251,7,7,4,True,773622,9,4,30,False,1,COL1
152657,756251,8,8,1,True,603594,9,32,8,False,-1,COL2
152723,327251,2,2,4,True,174528,9,24,23,False,-1,COL2
152777,777251,2,2,4,True,624474,9,4,29,False,-1,COL2
152833,338251,4,4,7,True,185418,9,23,34,False,1,COL1
152839,938251,1,1,1,True,785412,9,29,5,False,1,COL1
152897,798251,5,5,7,True,645354,9,13,13,True,-1,COL2
152981,189251,8,8,1,True,36270,9,23,33,False,-1,COL2
152989,989251,7,7,4,True,836262,9,31,19,False,1,COL1
153071,170351,8,8,1,True,17280,9,2,3,False,-1,COL2
153247,742351,4,4,7,True,589104,9,30,20,False,1,COL1
153271,172351,1,1,1,True,19080,9,17,5,False,1,COL1
153313,313351,7,7,4,True,160038,9,22,35,False,1,COL1
153337,733351,4,4,7,True,580014,9,9,11,False,1,COL1
153469,964351,1,1,1,True,810882,9,30,20,False,1,COL1
153487,784351,1,1,1,True,630864,9,11,25,False,1,COL1
153557,755351,8,8,1,True,601794,9,7,33,False,-1,COL2
153589,985351,4,4,7,True,831762,9,2,4,False,1,COL1
153623,326351,2,2,4,True,172728,9,36,11,False,-1,COL2
153689,986351,5,5,7,True,832662,9,28,5,False,-1,COL2
153739,937351,1,1,1,True,783612,9,4,30,False,1,COL1
153749,947351,2,2,4,True,793602,9,14,3,False,-1,COL2
